id,name,type,type_id
1,Jorge Mori,Featured Artist,1
2,Grupo Guanabara ,Art Schools ,2
3,Seibi-kai,Art Schools ,2
4,Yoshiya Takaoka,Mentors & Contemporaries,3
5,Tomoo Handa,Mentors & Contemporaries,3
6,Walter Shigeto Tanaka,Mentors & Contemporaries,3
7,Kenjiro Masuda,Mentors & Contemporaries,3
8,Arcanjo Ianelli,Mentors & Contemporaries,3
9,Grupo Santa Helena,Art Schools ,2
10,Mário Zanini,Mentors & Contemporaries,3
11,Rebolo ,Mentors & Contemporaries,3
12,Fúlvio Pennachi,Mentors & Contemporaries,3
13,Clóvis Graciano ,Mentors & Contemporaries,3
14,Ukiyo-ê,Movements and Styles ,4
15,Escola Profissional Masculina no Brás ,Art Institutions,5
16,"Escola de Belas Artes, SP",Art Institutions,5
17,Paulo Vergueiro Lopes de Leão ,Mentors & Contemporaries,3
18,Mário de Andrade,Mentors & Contemporaries,3
19,Salão de Maio,Art Exhibitions ,6
20,Manabu Mabe,Mentors & Contemporaries,3
21,Masato Aki,Mentors & Contemporaries,3
22,Teiiti Suzuki,Mentors & Contemporaries,3
23,Hideomi Ohara,Mentors & Contemporaries,3
24,Wega Nery,Mentors & Contemporaries,3
25,Athayde de Barros ,Mentors & Contemporaries,3
26,Geraldo de Barros,Mentors & Contemporaries,3
27,Fang,Mentors & Contemporaries,3
28,Irene Keller,Mentors & Contemporaries,3
29,Claudia Scatamacchia ,Mentors & Contemporaries,3
30,Amélia Toledo ,Mentors & Contemporaries,3
31,Jandyra Waters,Mentors & Contemporaries,3
32,Antônio Carelli,Mentors & Contemporaries,3
33,Paris,Movements and Styles ,4
34,Flávio Shiró,Mentors & Contemporaries,3
35,Yuji Tamaki,Mentors & Contemporaries,3
36,Kiyoji Tomioka,Mentors & Contemporaries,3
37,Hajime Higaki,Mentors & Contemporaries,3
38,Kichizaemon Takahashi,Mentors & Contemporaries,3
39,Iwakichi Yamamoto,Mentors & Contemporaries,3
40,Quirino da Silva,Art Exhibitions ,6
41,Geraldo Ferraz,Art Exhibitions ,6